Método,Qual a sua turma?,Nome Completo,Em que fase está a sua empresa após o programa?,Faturamento antes do programa,Faturamento após o programa,Você gerou quantos empregos durante/após a participação no Inovativa?,Você fez conexões relevantes graças ao programa Inovativa?,"Para você acelerar o seu negócio, o quanto participar do Inovativa foi importante?","Para você crescer a sua renda, o quanto participar do Inovativa foi importante?","Para você aumentar a sua motivação e comprometimento, o quanto participar do Inovativa foi importante?","Para você encontrar novas ideias e soluções para o seu negócio, o quanto participar do Inovativa foi importante?","Para você ter acesso a novos clientes, o quanto participar do Inovativa foi importante?","Para você fazer conexões relevantes, o quanto participar do Inovativa foi importante?","Para você melhorar a sua competitividade no seu mercado de atuação, o quanto participar do Inovativa foi importante?","Para você ganhar visibilidade, reconhecimento e credibilidade, o quanto participar do Inovativa foi importante?","Em geral, qual o seu nível de satisfação com a metodologia adotada pelo programa?",Grau de escolaridade,Como você se auto declara,Qual seu gênero,Qual o ramo do seu negócio?
On-line,Brasilândia,Startup Número 1,Fase de crescimento (aumentando o número de clientes),1500,5000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Médio completo,Branca/Branco,Cisgênero Masculino,Saúde
Presencial,Brasilândia,Startup Número 2,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,900,1400,0,Sim,Muito importante,Importante,Muito importante,Muito importante,Importante,Importante,Importante,Importante,Satisfeito,Superior incompleto,Amarela/Amarelo,Cisgênero Feminino,Educação
Presencial,Brasilândia,Startup Número 3,Validação - fase em que o produto ou serviço da startup é validado no mercado,500,4000,1,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Parda/Pardo,Cisgênero Masculino,Educação
On-line,Brasilândia,Startup Número 4,Validação - fase em que o produto ou serviço da startup é validado no mercado,9000,8000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Pós-graduação completo,Parda/Pardo,Cisgênero Feminino,Saúde
On-line,Brasilândia,Startup Número 5,Fase de crescimento (aumentando o número de clientes),50,80,0,Sim,Muito importante,Importante,Muito importante,Muito importante,Importante,Importante,Importante,Importante,Muito satisfeito,Superior completo,Parda/Pardo,Cisgênero Feminino,Tecnologia da informação e Comunicação
On-line,Impactlândia,Startup Número 6,Fase de crescimento (aumentando o número de clientes),50,50,1,Sim,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Muito satisfeito,Superior completo,Preta/Preto,Cisgênero Masculino,Educação
On-line,Impactlândia,Startup Número 7,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,4000,7000,0,Sim,Importante,Importante,Importante,Importante,Importante,Importante,Muito importante,Muito importante,Satisfeito,Superior completo,Parda/Pardo,Cisgênero Feminino,Tecnologia da informação e Comunicação
On-line,Impactlândia,Startup Número 8,Fase de crescimento (aumentando o número de clientes),5000,20000,1,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior incompleto,Branca/Branco,Cisgênero Feminino,Saúde
On-line,Impactlândia,Startup Número 9,Fase de crescimento (aumentando o número de clientes),300,6000,0,Não,Importante,Razoavelmente importante,Importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Satisfeito,Superior completo,Parda/Pardo,Cisgênero Masculino,Educação
On-line,Terelândia,Startup Número 10,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,580,600,0,Não,Muito importante,Importante,Importante,Muito importante,Importante,Importante,Importante,Importante,Muito satisfeito,Médio completo,Parda/Pardo,Cisgênero Feminino,Tecnologia da informação e Comunicação
On-line,Brasilândia,Startup Número 11,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,580,580,0,Sim,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Satisfeito,Superior completo,Não sei/não gostaria de declarar,Cisgênero Masculino,Saúde
On-line,Brasilândia,Startup Número 12,Fase de crescimento (aumentando o número de clientes),5000,5000,2,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior incompleto,Branca/Branco,Cisgênero Feminino,Varejo
On-line,Brasilândia,Startup Número 13,Fase de crescimento (aumentando o número de clientes),120,120,1,Não,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Razoavelmente importante,Importante,Muito satisfeito,Superior incompleto,Preta/Preto,Cisgênero Feminino,Tecnologia da informação e Comunicação
On-line,Inovatilândia,Startup Número 14,Validação - fase em que o produto ou serviço da startup é validado no mercado,7000,11000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Branca/Branco,Cisgênero Feminino,Saúde
On-line,Inovatilândia,Startup Número 15,Fase de crescimento (aumentando o número de clientes),3000,15000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior incompleto,Parda/Pardo,Cisgênero Masculino,Tecnologia da informação e Comunicação
On-line,Inovatilândia,Startup Número 16,Fase de crescimento (aumentando o número de clientes),1700,1800,0,Sim,Importante,Importante,Importante,Muito importante,Importante,Importante,Muito importante,Importante,Satisfeito,Superior completo,Parda/Pardo,Prefiro não responder,Saúde
On-line,Inovatilândia,Startup Número 17,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,2000,2000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Branca/Branco,Cisgênero Feminino,Educação
On-line,Inovatilândia,Startup Número 18,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,5000,6000,0,Não,Importante,Razoavelmente importante,Importante,Importante,Pouco importante,Pouco importante,Razoavelmente importante,Pouco importante,Satisfeito,Superior completo ,Branca/Branco,Prefiro não responder,Saúde
On-line,Inovatilândia,Startup Número 19,Fase de crescimento (aumentando o número de clientes),2000,4000,1,Sim,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Satisfeito,Médio completo,Branca/Branco,Cisgênero Masculino,Tecnologia da informação e Comunicação
